name,material type,seating type,speed,height,length,num inversions,manufacturer,park,status
10 Inversion Roller Coaster,Steel,Sit Down,72,30,850,10,Intamin,Chimelong Paradise,status.operating
1001 Pattes (Perc),Steel,Sit Down,26,3,,0,Pinfari,Foire,status.operating
1066: Spirit of the Conqueror,Steel,Sit Down,,18,400,0,Soquet,Festyland,status.operating
4 Man Bob,Steel,Sit Down,,7,,0,Zierer,Alton Towers,status.closed.definitely
4 Man Bob,Steel,Sit Down,,7,,0,Zierer,Trentham,status.closed.definitely
7 Picos,Steel,Sit Down,,14,460,0,Schwarzkopf,Parque de Atracciones de Madrid,status.closed.definitely
Abandon Mine,Steel,Sit Down,,,,0,Molina & Son's,Uncle Bernie's Theme Park,status.operating
Abismo,Steel,Sit Down,105,46,450,2,Maurer,Parque de Atracciones de Madrid,status.operating
Abyss,na,Sit Down,85,30,630,3,Gerstlauer,Adventure World,status.operating
Achtbaan,Steel,Sit Down,32,6,199,0,Zierer,Amusementspark Tivoli,status.operating
Achtbaan,Steel,Sit Down,,,,0,Zierer,De Valkenier,status.operating
Achtbaan,Steel,Sit Down,,6,135,0,Preston & Barbieri,Kinderstad Heerlen,status.operating
Achtbaan,Steel,Sit Down,,5,220,0,D.P.V. Rides,Speelpark Oud Valkeveen,status.operating
Achterbahn,Steel,Sit Down,,,,0,Zierer,Bayern Park,status.operating
Achterbahn,Steel,Sit Down,,,,0,Pinfari,Foire,status.operating
Achterbahn,Steel,Sit Down,,,,0,na,Freizeipark Kirchhorst,status.closed.definitely
Achterbahn,Steel,Sit Down,50,15,560,0,Schwarzkopf,Skyline Park,status.operating
Achterbahn,Steel,Sit Down,,3,80,0,Zamperla,Tatzmania Löffingen,status.closed.definitely
Achterbahn,Steel,Sit Down,,,,0,SBF,Trampoline,status.closed.definitely
Aconcagua,Steel,Sit Down,93,36,751,0,Schwarzkopf,Parque de la Ciudad,status.closed.definitely
Acrobat,Steel,Flying,90,43,1021,4,B&M,Nagashima Spa Land,status.operating
Across Amazon,Steel,Water Coaster,,,,0,Golden Horse,Victory Kingdom,status.closed.temporarily
Adrenaline Peak,Steel,Sit Down,72,22,320,3,Gerstlauer,Oaks Amusement Park,status.operating
Adventure Express,Steel,Sit Down,56,19,903,0,Arrow,Kings Island,status.operating
Aero 5,na,na,,,,0,Zamperla,Benyland,status.operating
African Big Apple,Steel,Sit Down,,,,0,Pinfari,West Midlands Safari Park,status.operating
African Spin,Steel,Sit Down,30,7,113,0,SBF,Tatzmania Löffingen,status.operating
Afrika Expressen,Steel,Sit Down,,,,0,Pinfari,Ölands Djur & Nöjespark,status.relocated
Afterburn,Steel,Inverted,100,34,900,6,B&M,Carowinds,status.operating
AfterBurner,Steel,Sit Down,,46,,2,S&S,Wonder Island,status.closed.definitely
Aftershock,Steel,Sit Down,106,58,367,3,Vekoma,Silverwood Theme Park,status.operating
Air Grover,Steel,Sit Down,,,,0,Zierer,Busch Gardens Tampa,status.operating
Aircraft,Steel,Sit Down,,,,0,SBF,Le Fleury,status.operating
Aktium,na,Water Coaster,,,,,Mack,CineCittà World,status.operating
Ala delta,Steel,Suspended,43,16,370,0,Reverchon,Foire,status.operating
Alap Alap,na,Sit Down,,,,,Zierer,Dunia Fantasi,status.operating
Alien vs Predator,Steel,Sit Down,0,0,0,0,na,20th Century Fox World,status.announced
Alligator Alley,Steel,Sit Down,,,,0,na,Foire,status.operating
Alpen Blizzard,na,Sit Down,,,396,,S&MC,Alpen Park,status.operating
Alpen-Coaster,Steel,Sit Down,,13,460,0,Schwarzkopf,Zoo Safari Stukenbrock,status.announced
Alpenexpress,Steel,Sit Down,45,6,264,0,Mack,Europa Park,status.operating
Alpengeist,Steel,Inverted,108,60,,6,B&M,Busch Gardens Williamsburg,status.operating
Alpina Bahn,Steel,Sit Down,80,27,910,0,Schwarzkopf,Foire,status.operating
Alpina Blitz,Steel,Sit Down,100,30,800,0,Mack,Nigloland,status.operating
Alpina Bobs,Steel,Sit Down,50,14,538,0,Schwarzkopf,Holly Park,status.closed.definitely
Alpine Bobsled,Steel,Bobsleigh,60,20,452,0,Intamin,Great Escape,status.operating
Alpine Coaster,Steel,Alpine,,,435,0,Wiegand,Parc des Combes,status.operating
Alpine Coaster,na,Alpine,,,1200,,Wiegand,Vinpearl Land Nha Trang,status.operating
Alpine-Coaster,Steel,Alpine,,,2920,0,Wiegand,Golm,status.operating
Alpinecoaster,Steel,Alpine,,,720,0,Wiegand,Alpincenter Bottrop,status.operating
Altair,na,Sit Down,85,33,875,,Intamin,CineCittà World,status.operating
Altin Madeni Coaster,Steel,Sit Down,,,,0,SBF,Wonderland Eurasia,status.operating
Alton Mouse,Steel,Sit Down,,17,500,0,Vekoma,Alton Towers,status.closed.definitely
Alucinakis,Steel,Sit Down,30,8,250,0,Zamperla,Terra Mítica,status.operating
American Eagle,Wooden,Sit Down,106,38,1417,0,Intamin,Six Flags Great America,status.operating
American Thunder,Wooden,Sit Down,77,25,827,0,GCI,Six Flags St Louis,status.operating
Amerigo,Steel,Sit Down,,,,0,Pinfari,Rainbow MagicLand,status.operating
Anaconda,Steel,Inverted,90,34,746,5,Giovanola,Gold Reef City,status.operating
Anaconda,Steel,Sit Down,81,44,823,4,Arrow,Kings Dominion,status.operating
Anaconda,Wooden,Sit Down,85,35,1200,0,William J. Cobb,Walygator Parc,status.operating
Anaconda,Steel,Sit Down,48,11,250,0,L&T Systems,Zoo de Granby,status.operating
